tiempo,energia_activa,energia_activa_sin_factor,energia_rectiva,energia_rectiva_sin_factor,demanda_activa,demanda_reactiva,TempCelcius,HR,Lluviamm,Dirdelviento,Veldelviento_m/s,Velderafagas_m/s,year,month,day,hour,weekday,pandemia
2020-04-12 07:00:00,697.2,0.166,453.6,0.108,2788.8,1814.4,26.15816666666667,89.51666666666667,0.0,232.81666666666663,0.0833333333333333,1.0916666666666666,2020,4,12,7,6,1
2020-04-12 08:00:00,688.8,0.164,394.8,0.094,2755.2,1579.2,27.651666666666667,84.53333333333335,0.0,265.1,0.2916666666666667,1.8483333333333327,2020,4,12,8,6,1
2020-04-12 09:00:00,705.6,0.168,344.40000000000003,0.082,2822.4,1377.6,30.55683333333333,73.36666666666667,0.0,176.64999999999998,0.125,1.5933333333333335,2020,4,12,9,6,1
2020-04-12 10:00:00,722.4000000000001,0.172,306.6,0.073,2889.6000000000004,1226.4,32.01133333333334,67.23333333333333,0.0,123.78333333333332,0.7566666666666667,3.106666666666667,2020,4,12,10,6,1
2020-04-12 11:00:00,743.4000000000001,0.177,340.20000000000005,0.081,2973.6000000000004,1360.8000000000002,33.259,63.93333333333333,0.0,139.68333333333334,0.5033333333333333,2.39,2020,4,12,11,6,1
2020-04-12 12:00:00,756.0,0.18,336.0,0.08,3024.0,1344.0,32.83866666666666,63.18333333333334,0.0,104.6,1.6366666666666667,4.489999999999999,2020,4,12,12,6,1
2020-04-12 13:00:00,768.6,0.183,310.79999999999995,0.074,3074.4,1243.1999999999998,33.058666666666674,63.71666666666667,0.0,147.63333333333333,0.9216666666666664,3.313333333333333,2020,4,12,13,6,1
2020-04-12 14:00:00,772.8,0.184,315.0,0.075,3091.2,1260.0,33.0535,62.75,0.0,164.5,0.545,2.39,2020,4,12,14,6,1
2020-04-12 15:00:00,785.4000000000001,0.187,336.0,0.08,3141.6000000000004,1344.0,31.389,68.21666666666667,0.0333333333333333,190.25,0.84,3.188333333333333,2020,4,12,15,6,1
2020-04-12 16:00:00,772.8,0.184,394.8,0.094,3091.2,1579.2,29.518666666666665,76.05000000000001,0.3,186.96666666666667,0.8816666666666667,2.645,2020,4,12,16,6,1
2020-04-12 17:00:00,785.4,0.187,411.6,0.098,3141.6,1646.4,28.609166666666667,78.75,0.2333333333333333,167.08333333333334,1.1766666666666663,3.0216666666666665,2020,4,12,17,6,1
2020-04-12 18:00:00,848.4,0.2019999999999999,365.4,0.087,3393.6,1461.6,27.475166666666667,84.88333333333333,0.0666666666666666,226.26666666666665,0.7983333333333333,2.643333333333333,2020,4,12,18,6,1
2020-04-12 19:00:00,861.0,0.205,344.4,0.082,3444.0,1377.6,25.873833333333334,94.13333333333333,0.1333333333333333,132.20000000000002,0.6283333333333333,2.813333333333333,2020,4,12,19,6,1
2020-04-12 20:00:00,852.5999999999999,0.203,365.4,0.087,3410.4,1461.6,25.412166666666664,95.78333333333336,0.0666666666666666,280.0833333333333,0.715,2.645,2020,4,12,20,6,1
2020-04-12 21:00:00,840.0,0.2,369.6,0.088,3360.0,1478.4,25.089,96.08333333333331,0.0333333333333333,31.566666666666663,0.5449999999999999,2.435,2020,4,12,21,6,1
2020-04-12 22:00:00,835.8,0.199,352.8,0.084,3343.2,1411.2,25.07283333333333,96.13333333333333,0.0,156.06666666666666,0.0,1.3,2020,4,12,22,6,1
2020-04-12 23:00:00,823.2,0.196,378.00000000000006,0.09,3292.8,1512.0000000000002,25.12516666666667,95.58333333333331,0.0,193.5,0.0416666666666666,0.6699999999999999,2020,4,12,23,6,1
2020-04-13 00:00:00,819.0000000000001,0.195,420.0,0.0999999999999999,3276.0000000000005,1680.0,25.331166666666665,95.5,0.0,177.8166666666667,0.0,0.2933333333333333,2020,4,13,0,0,1
2020-04-13 01:00:00,823.2,0.196,474.6,0.113,3292.8,1898.4,25.468833333333333,95.83333333333331,0.0,200.0833333333333,0.0,0.1666666666666666,2020,4,13,1,0,1
2020-04-13 02:00:00,819.0,0.195,504.0,0.12,3276.0,2016.0,25.5375,96.25,0.0,230.2333333333333,0.0,0.715,2020,4,13,2,0,1
2020-04-13 03:00:00,819.0,0.195,541.8,0.129,3276.0,2167.2,25.436333333333334,96.4,0.0,329.45000000000005,0.0416666666666666,0.7133333333333334,2020,4,13,3,0,1
2020-04-13 04:00:00,819.0,0.195,533.4,0.127,3276.0,2133.6,25.424166666666665,96.41666666666669,0.0,334.40000000000003,0.0,1.05,2020,4,13,4,0,1
2020-04-13 05:00:00,810.6,0.193,550.2,0.131,3242.4,2200.8,25.399833333333333,96.61666666666667,0.0,261.6166666666667,0.0833333333333333,0.7966666666666667,2020,4,13,5,0,1
2020-04-13 06:00:00,777.0,0.185,583.8,0.139,3108.0,2335.2,25.46066666666667,96.68333333333334,0.0,217.6,0.0416666666666666,1.0066666666666666,2020,4,13,6,0,1
