tiempo,energia_activa,TempCelcius,HR,pandemia,month,day,weekday,sin_hour,cos_hour
2020-04-18 04:00:00,785.4,24.263166666666667,95.86666666666667,1,4,18,5,0.8660254037844386,0.5000000000000001
2020-04-18 05:00:00,772.8,24.038,97.05,1,4,18,5,0.9659258262890683,0.25881904510252074
2020-04-18 06:00:00,735.0,23.985666666666663,97.61666666666666,1,4,18,5,1.0,6.123233995736766e-17
2020-04-18 07:00:00,701.4,23.73333333333333,98.2,1,4,18,5,0.9659258262890683,-0.25881904510252063
2020-04-18 08:00:00,693.0,23.66083333333333,98.83333333333331,1,4,18,5,0.8660254037844387,-0.4999999999999998
2020-04-18 09:00:00,688.8,26.63766666666666,97.73333333333332,1,4,18,5,0.7071067811865476,-0.7071067811865475
2020-04-18 10:00:00,697.1999999999999,29.0135,85.31666666666668,1,4,18,5,0.49999999999999994,-0.8660254037844387
2020-04-18 11:00:00,722.4000000000001,31.086,72.56666666666668,1,4,18,5,0.258819045102521,-0.9659258262890682
2020-04-18 12:00:00,726.6,30.845,70.88333333333334,1,4,18,5,1.2246467991473532e-16,-1.0
2020-04-18 13:00:00,726.6,30.67633333333333,74.58333333333333,1,4,18,5,-0.2588190451025208,-0.9659258262890683
2020-04-18 14:00:00,730.8,30.33933333333333,72.25,1,4,18,5,-0.4999999999999997,-0.8660254037844388
2020-04-18 15:00:00,747.6,29.950500000000005,74.51666666666667,1,4,18,5,-0.7071067811865471,-0.7071067811865479
2020-04-18 16:00:00,739.2,29.514,79.01666666666667,1,4,18,5,-0.8660254037844385,-0.5000000000000004
2020-04-18 17:00:00,751.8,30.471166666666672,73.21666666666668,1,4,18,5,-0.9659258262890683,-0.25881904510252063
2020-04-18 18:00:00,793.8,28.999,76.99999999999999,1,4,18,5,-1.0,-1.8369701987210297e-16
2020-04-18 19:00:00,827.4000000000001,28.60083333333333,79.35000000000001,1,4,18,5,-0.9659258262890684,0.2588190451025203
2020-04-18 20:00:00,823.2,28.24966666666667,82.03333333333332,1,4,18,5,-0.8660254037844386,0.5000000000000001
2020-04-18 21:00:00,814.8,27.822166666666664,85.61666666666667,1,4,18,5,-0.7071067811865477,0.7071067811865474
2020-04-18 22:00:00,823.2,24.941,93.63333333333333,1,4,18,5,-0.5000000000000004,0.8660254037844384
2020-04-18 23:00:00,781.1999999999999,23.156,99.15,1,4,18,5,-0.25881904510252157,0.9659258262890681
2020-04-19 00:00:00,239.4,23.332166666666662,99.98333333333332,1,4,19,6,0.0,1.0
2020-04-19 01:00:00,239.4,23.76516666666667,100.0,1,4,19,6,0.25881904510252074,0.9659258262890683
2020-04-19 02:00:00,231.0,23.96183333333333,100.0,1,4,19,6,0.49999999999999994,0.8660254037844387
2020-04-19 03:00:00,239.4,23.84133333333333,100.0,1,4,19,6,0.7071067811865476,0.7071067811865476
2020-04-19 04:00:00,235.2,23.736999999999995,100.0,1,4,19,6,0.8660254037844386,0.5000000000000001
2020-04-19 05:00:00,235.2,23.380333333333336,100.0,1,4,19,6,0.9659258262890683,0.25881904510252074
2020-04-19 06:00:00,218.4,22.984,100.0,1,4,19,6,1.0,6.123233995736766e-17
2020-04-19 07:00:00,508.2,23.8015,100.0,1,4,19,6,0.9659258262890683,-0.25881904510252063
2020-04-19 08:00:00,730.8000000000001,26.246,99.98333333333332,1,4,19,6,0.8660254037844387,-0.4999999999999998
2020-04-19 09:00:00,714.0,28.075000000000003,93.78333333333332,1,4,19,6,0.7071067811865476,-0.7071067811865475
