tiempo,energia_activa,temp_celsius,hr,pandemia,month,day,weekday,sin_hour,cos_hour
2017-09-03 15:00:00,924.0,30.72266666666667,64.46666666666667,0,9,3,6,-0.7071067811865471,-0.7071067811865479
2017-09-03 16:00:00,856.8,29.974333333333334,64.58333333333333,0,9,3,6,-0.8660254037844385,-0.5000000000000004
2017-09-03 17:00:00,831.6,28.652,67.28333333333333,0,9,3,6,-0.9659258262890683,-0.25881904510252063
2017-09-03 18:00:00,856.8,27.251499999999997,70.98333333333333,0,9,3,6,-1.0,-1.8369701987210297e-16
2017-09-03 19:00:00,882.0,26.264,75.06666666666666,0,9,3,6,-0.9659258262890684,0.2588190451025203
2017-09-03 20:00:00,856.8,24.49716666666667,78.03333333333333,0,9,3,6,-0.8660254037844386,0.5000000000000001
2017-09-03 21:00:00,827.4000000000001,23.108333333333334,82.55,0,9,3,6,-0.7071067811865477,0.7071067811865474
2017-09-03 22:00:00,814.8,22.517,85.14999999999999,0,9,3,6,-0.5000000000000004,0.8660254037844384
2017-09-03 23:00:00,798.0,22.197666666666667,85.51666666666667,0,9,3,6,-0.25881904510252157,0.9659258262890681
2017-09-04 00:00:00,785.4,21.934833333333334,85.5,0,9,4,0,0.0,1.0
2017-09-04 01:00:00,768.5999999999999,21.775499999999997,86.43333333333334,0,9,4,0,0.25881904510252074,0.9659258262890683
2017-09-04 02:00:00,768.6,21.473166666666668,87.23333333333333,0,9,4,0,0.49999999999999994,0.8660254037844387
2017-09-04 03:00:00,760.2,21.278166666666667,88.18333333333334,0,9,4,0,0.7071067811865476,0.7071067811865476
2017-09-04 04:00:00,760.2,21.258333333333333,88.83333333333333,0,9,4,0,0.8660254037844386,0.5000000000000001
2017-09-04 05:00:00,760.2,21.174833333333336,89.16666666666667,0,9,4,0,0.9659258262890683,0.25881904510252074
2017-09-04 06:00:00,764.4,21.222666666666665,88.5,0,9,4,0,1.0,6.123233995736766e-17
2017-09-04 07:00:00,1411.2,22.046666666666667,86.55,0,9,4,0,0.9659258262890683,-0.25881904510252063
2017-09-04 08:00:00,2373.0,22.856666666666666,82.56666666666666,0,9,4,0,0.8660254037844387,-0.4999999999999998
2017-09-04 09:00:00,2881.2,24.79116666666667,76.51666666666667,0,9,4,0,0.7071067811865476,-0.7071067811865475
2017-09-04 10:00:00,3221.4,26.253333333333334,73.73333333333333,0,9,4,0,0.49999999999999994,-0.8660254037844387
2017-09-04 11:00:00,3423.0,27.814333333333334,68.75,0,9,4,0,0.258819045102521,-0.9659258262890682
2017-09-04 12:00:00,3570.0,29.274,64.4,0,9,4,0,1.2246467991473532e-16,-1.0
2017-09-04 13:00:00,3465.0,29.312833333333334,65.26666666666667,0,9,4,0,-0.2588190451025208,-0.9659258262890683
2017-09-04 14:00:00,3486.0,29.995333333333335,65.39999999999999,0,9,4,0,-0.4999999999999997,-0.8660254037844388
2017-09-04 15:00:00,3376.8,30.356166666666667,63.68333333333334,0,9,4,0,-0.7071067811865471,-0.7071067811865479
2017-09-04 16:00:00,2721.6,29.456500000000002,64.85000000000001,0,9,4,0,-0.8660254037844385,-0.5000000000000004
2017-09-04 17:00:00,1919.4,28.750333333333334,65.60000000000001,0,9,4,0,-0.9659258262890683,-0.25881904510252063
2017-09-04 18:00:00,1528.8,27.3005,71.18333333333334,0,9,4,0,-1.0,-1.8369701987210297e-16
2017-09-04 19:00:00,1184.4,26.382,73.66666666666667,0,9,4,0,-0.9659258262890684,0.2588190451025203
2017-09-04 20:00:00,1008.0,24.646,76.31666666666666,0,9,4,0,-0.8660254037844386,0.5000000000000001
2017-09-04 21:00:00,928.2,23.200333333333333,80.36666666666666,0,9,4,0,-0.7071067811865477,0.7071067811865474
2017-09-04 22:00:00,856.8,22.429000000000002,83.56666666666666,0,9,4,0,-0.5000000000000004,0.8660254037844384
2017-09-04 23:00:00,831.6,21.934833333333334,85.2,0,9,4,0,-0.25881904510252157,0.9659258262890681
2017-09-05 00:00:00,827.4000000000001,21.453166666666664,86.88333333333333,0,9,5,1,0.0,1.0
2017-09-05 01:00:00,802.2,21.027666666666665,87.93333333333334,0,9,5,1,0.25881904510252074,0.9659258262890683
2017-09-05 02:00:00,798.0,20.714166666666667,88.48333333333333,0,9,5,1,0.49999999999999994,0.8660254037844387
2017-09-05 03:00:00,798.0,20.650333333333332,88.55,0,9,5,1,0.7071067811865476,0.7071067811865476
2017-09-05 04:00:00,798.0,21.027666666666665,87.68333333333334,0,9,5,1,0.8660254037844386,0.5000000000000001
2017-09-05 05:00:00,793.8,21.258333333333333,86.51666666666667,0,9,5,1,0.9659258262890683,0.25881904510252074
2017-09-05 06:00:00,798.0,21.393666666666665,86.38333333333333,0,9,5,1,1.0,6.123233995736766e-17
2017-09-05 07:00:00,1348.2,21.8155,86.25,0,9,5,1,0.9659258262890683,-0.25881904510252063
2017-09-05 08:00:00,2154.6,22.409333333333333,85.31666666666666,0,9,5,1,0.8660254037844387,-0.4999999999999998
2017-09-05 09:00:00,2473.8,23.444666666666667,83.60000000000001,0,9,5,1,0.7071067811865476,-0.7071067811865475
2017-09-05 10:00:00,2801.4,24.7995,80.03333333333333,0,9,5,1,0.49999999999999994,-0.8660254037844387
2017-09-05 11:00:00,3032.4,26.243666666666666,75.38333333333334,0,9,5,1,0.258819045102521,-0.9659258262890682
2017-09-05 12:00:00,3103.8,27.515333333333334,72.38333333333334,0,9,5,1,1.2246467991473532e-16,-1.0
2017-09-05 13:00:00,3045.0,28.2085,70.05,0,9,5,1,-0.2588190451025208,-0.9659258262890683
2017-09-05 14:00:00,3091.2,28.77916666666667,69.81666666666666,0,9,5,1,-0.4999999999999997,-0.8660254037844388
2017-09-05 15:00:00,2982.0,28.6345,70.01666666666667,0,9,5,1,-0.7071067811865471,-0.7071067811865479
2017-09-05 16:00:00,2398.2,27.669666666666668,72.18333333333332,0,9,5,1,-0.8660254037844385,-0.5000000000000004
2017-09-05 17:00:00,1755.6,26.1015,76.1,0,9,5,1,-0.9659258262890683,-0.25881904510252063
2017-09-05 18:00:00,1323.0,25.453000000000003,78.68333333333334,0,9,5,1,-1.0,-1.8369701987210297e-16
2017-09-05 19:00:00,1121.4,24.730333333333334,79.58333333333333,0,9,5,1,-0.9659258262890684,0.2588190451025203
2017-09-05 20:00:00,1020.6,23.1885,81.10000000000001,0,9,5,1,-0.8660254037844386,0.5000000000000001
2017-09-05 21:00:00,915.6,22.0505,85.08333333333333,0,9,5,1,-0.7071067811865477,0.7071067811865474
2017-09-05 22:00:00,861.0,21.564666666666668,87.53333333333335,0,9,5,1,-0.5000000000000004,0.8660254037844384
2017-09-05 23:00:00,835.8,21.56866666666667,87.76666666666667,0,9,5,1,-0.25881904510252157,0.9659258262890681
2017-09-06 00:00:00,814.8000000000001,21.381833333333333,87.64999999999999,0,9,6,2,0.0,1.0
