tiempo,energia_activa,temp_celsius,hr,lluvia_mm,dir_viento,vel_viento,vel_rafagas
2019-03-01 01:00:00,961.8,25.86616666666667,87.58333333333333,0.4666666666666666,203.79999999999998,0.20833333333333334,1.7616666666666667
2019-03-01 02:00:00,936.5999999999999,25.09283333333333,92.06666666666666,0.43333333333333335,215.96666666666667,0.375,2.1799999999999997
2019-03-01 03:00:00,932.4,25.048666666666666,94.0,0.03333333333333333,212.91666666666666,0.25,1.8883333333333334
2019-03-01 04:00:00,936.5999999999999,25.2625,94.43333333333334,0.0,204.76666666666665,0.0,0.16666666666666666
2019-03-01 05:00:00,919.8,25.403833333333335,94.5,0.0,205.23333333333335,0.0,0.33499999999999996
2019-03-01 06:00:00,932.4,25.209999999999997,94.60000000000001,0.0,249.4333333333333,0.25166666666666665,1.2166666666666666
2019-03-01 07:00:00,1600.2,25.222166666666666,95.10000000000001,0.0,279.3833333333333,1.3,3.61
2019-03-01 08:00:00,2499.0,26.349666666666668,92.88333333333333,0.0,207.76666666666665,0.6283333333333333,2.393333333333333
2019-03-01 09:00:00,2965.2,28.7,84.51666666666667,0.0,190.9333333333333,0.7133333333333334,2.936666666666667
2019-03-01 10:00:00,3276.0,30.5485,75.7,0.0,184.13333333333333,0.7566666666666667,2.98
2019-03-01 11:00:00,3494.4,30.11283333333333,76.53333333333333,0.0,214.54999999999998,0.6283333333333333,3.106666666666667
2019-03-01 12:00:00,3490.2,30.236,79.61666666666666,0.0,321.5,1.8033333333333335,4.658333333333333
2019-03-01 13:00:00,3393.6,31.107333333333333,76.28333333333333,0.0,253.86666666666667,1.7216666666666667,4.783333333333334
2019-03-01 14:00:00,3418.8,31.740166666666667,72.16666666666667,0.0,324.53333333333336,1.845,4.951666666666667
2019-03-01 15:00:00,3330.6,31.727833333333333,70.71666666666667,0.0,326.1666666666667,2.4766666666666666,6.044999999999999
2019-03-01 16:00:00,2683.8,30.631333333333334,70.48333333333333,0.0,231.1833333333333,1.3433333333333335,3.861666666666667
2019-03-01 17:00:00,1688.4,28.950833333333332,75.63333333333334,0.0,178.53333333333333,0.84,3.0233333333333334
2019-03-01 18:00:00,1386.0,27.4725,82.26666666666667,0.0,186.48333333333335,1.1783333333333335,4.239999999999999
2019-03-01 19:00:00,1176.0,27.591333333333335,83.81666666666666,0.0,211.2833333333333,1.01,3.188333333333333
2019-03-01 20:00:00,1100.4,27.300166666666666,86.78333333333335,0.0,202.86666666666667,1.26,3.651666666666667
2019-03-01 21:00:00,1050.0,27.09183333333333,86.60000000000001,0.0,190.9333333333333,1.3433333333333335,4.071666666666666
2019-03-01 22:00:00,982.8,26.834166666666665,88.63333333333333,0.0,205.46666666666667,1.3016666666666667,4.618333333333333
2019-03-01 23:00:00,974.4,27.050666666666668,87.35000000000001,0.0,170.36666666666667,1.135,3.9899999999999998
2019-03-02 00:00:00,957.6,27.197833333333335,80.98333333333333,0.0,145.06666666666666,0.7166666666666667,3.19
2019-03-02 01:00:00,932.4,26.8505,79.28333333333333,0.0,177.38333333333333,0.545,2.686666666666667
2019-03-02 02:00:00,919.8,26.626166666666666,82.2,0.0,150.91666666666666,0.375,2.56
2019-03-02 03:00:00,915.6,26.8545,78.14999999999999,0.0,202.63333333333333,0.08333333333333333,1.8466666666666667
