tiempo,energia_activa,prediction
2020-04-21,19084.8,25253.453
2020-04-22,18606.0,24631.531
2020-04-23,18711.0,25389.018
2020-04-24,18929.398,23986.92
2020-04-25,18152.4,17541.254
2020-04-26,18114.6,16297.78
2020-04-27,19026.0,24436.625
2020-04-28,19097.4,24316.51
2020-04-29,18753.0,24138.72
2020-04-30,18765.6,25724.61
2020-05-01,19185.6,25113.398
2020-05-02,18345.6,20245.36
2020-05-03,18324.6,20276.988
2020-05-04,19051.2,26850.684
2020-05-05,18958.8,27158.656
2020-05-06,18534.6,27108.012
2020-05-07,18853.8,26506.168
2020-05-08,19420.8,25530.986
2020-05-09,18866.4,19787.967
2020-05-10,18442.201,19345.453
2020-05-11,19555.201,27837.977
2020-05-12,21306.6,30213.613
2020-05-13,19546.8,28207.113
2020-05-14,19320.0,29488.246
2020-05-15,19467.0,26112.547
2020-05-16,17589.6,20298.443
2020-05-17,17451.0,19742.357
2020-05-18,19215.0,28423.062
2020-05-19,19681.2,29449.588
2020-05-20,19139.4,26639.154
2020-05-21,18135.6,25742.148
2020-05-22,19572.0,25248.729
2020-05-23,17253.6,18815.197
2020-05-24,17060.4,17177.744
2020-05-25,18370.799,26626.582
2020-05-26,18912.6,26443.73
2020-05-27,20097.0,27607.135
2020-05-28,19950.0,27577.602
2020-05-29,20281.8,26073.582
2020-05-30,17446.799,18833.363
2020-05-31,16926.0,17564.383
2020-06-01,19895.398,27026.611
2020-06-02,20088.6,27646.379
2020-06-03,19219.2,29276.33
2020-06-04,19206.6,27793.193
2020-06-05,18480.0,24850.133
2020-06-06,16632.0,18669.26
2020-06-07,16325.399,15832.138
2020-06-08,18933.6,26480.121
2020-06-09,18660.6,26588.215
2020-06-10,19047.0,26655.312
2020-06-11,19341.0,26818.143
2020-06-12,19315.8,26052.41
2020-06-13,16829.4,18048.578
2020-06-14,16136.399,16227.105
2020-06-15,19000.8,26268.586
2020-06-16,19639.2,27299.418
2020-06-17,18967.2,28246.662
2020-06-18,18249.0,26625.969
2020-06-19,18967.2,26099.986
2020-06-20,16926.0,17779.674
2020-06-21,16401.0,16426.232
2020-06-22,18883.2,25415.355
2020-06-23,19677.0,26303.688
2020-06-24,19521.6,27611.998
2020-06-25,19248.6,26661.334
2020-06-26,18757.2,23321.639
2020-06-27,16518.6,16311.013
2020-06-28,16001.999,15787.722
2020-06-29,19122.6,25661.57
2020-06-30,18698.398,26383.383
2020-07-01,19391.398,28141.818
2020-07-02,19143.6,27431.6
2020-07-03,19122.6,26568.004
2020-07-04,16913.4,17982.605
2020-07-05,10920.0,13300.315
2020-07-06,19349.4,27641.055
2020-07-07,18564.0,26653.29
2020-07-08,19458.6,27123.941
2020-07-09,19042.8,27330.629
2020-07-10,18862.201,25781.25
2020-07-11,15943.199,17394.61
2020-07-12,12070.8,12326.091
2020-07-13,19387.2,25810.209
2020-07-14,18853.8,26482.188
2020-07-15,18715.2,26411.457
2020-07-16,18076.8,26268.07
2020-07-17,17950.799,25484.094
2020-07-18,16489.2,18522.74
2020-07-19,15859.2,15887.211
2020-07-20,19345.2,26531.652
2020-07-21,19458.6,26476.69
2020-07-22,19685.4,26369.352
2020-07-23,20458.2,27185.594
2020-07-24,17379.6,22731.943
2020-07-25,15817.2,15758.127
2020-07-26,15590.399,15947.044
2020-07-27,18883.2,25094.898
