tiempo,energia_activa,prediction
2019-11-30,1187659.2,973296.8
2019-12-31,1132849.2,973404.3
2020-01-31,1385857.2,973864.7
2020-02-29,992439.06,973312.25
2020-03-31,819613.2,973099.75
2020-04-30,563711.4,972732.6
2020-05-31,584262.0,972411.4
2020-06-30,552690.6,972377.75
2020-07-31,548398.2,972308.3
