tiempo,energia_activa,TempCelcius,HR,pandemia,month,day,weekday,sin_hour,cos_hour
2017-06-30 01:00:00,814.8000000000001,23.076000000000004,92.28333333333332,0,6,30,4,0.25881904510252074,0.9659258262890683
2017-06-30 02:00:00,802.2,23.212,91.55,0,6,30,4,0.49999999999999994,0.8660254037844387
2017-06-30 03:00:00,798.0,23.336,90.18333333333334,0,6,30,4,0.7071067811865476,0.7071067811865476
2017-06-30 04:00:00,802.1999999999999,23.324,89.7,0,6,30,4,0.8660254037844386,0.5000000000000001
2017-06-30 05:00:00,802.2,23.45233333333333,89.03333333333335,0,6,30,4,0.9659258262890683,0.25881904510252074
2017-06-30 06:00:00,823.2,23.705,88.45,0,6,30,4,1.0,6.123233995736766e-17
2017-06-30 07:00:00,1503.6,23.737,89.38333333333333,0,6,30,4,0.9659258262890683,-0.25881904510252063
2017-06-30 08:00:00,2473.8,24.122333333333334,89.21666666666668,0,6,30,4,0.8660254037844387,-0.4999999999999998
2017-06-30 09:00:00,2822.4,25.39633333333333,85.8,0,6,30,4,0.7071067811865476,-0.7071067811865475
2017-06-30 10:00:00,2952.6,25.800833333333333,84.06666666666668,0,6,30,4,0.49999999999999994,-0.8660254037844387
2017-06-30 11:00:00,3061.8,26.467166666666667,82.55000000000001,0,6,30,4,0.258819045102521,-0.9659258262890682
2017-06-30 12:00:00,3175.2,27.7525,78.31666666666668,0,6,30,4,1.2246467991473532e-16,-1.0
2017-06-30 13:00:00,3057.6000000000004,28.567833333333336,74.06666666666668,0,6,30,4,-0.2588190451025208,-0.9659258262890683
2017-06-30 14:00:00,3053.4,28.38583333333333,74.35000000000001,0,6,30,4,-0.4999999999999997,-0.8660254037844388
2017-06-30 15:00:00,3103.8,28.3775,73.46666666666667,0,6,30,4,-0.7071067811865471,-0.7071067811865479
2017-06-30 16:00:00,2709.0,28.352833333333333,73.05,0,6,30,4,-0.8660254037844385,-0.5000000000000004
2017-06-30 17:00:00,2074.8,27.3215,77.3,0,6,30,4,-0.9659258262890683,-0.25881904510252063
2017-06-30 18:00:00,1654.8,26.05716666666667,82.91666666666667,0,6,30,4,-1.0,-1.8369701987210297e-16
2017-06-30 19:00:00,1218.0,24.826666666666668,86.05000000000001,0,6,30,4,-0.9659258262890684,0.2588190451025203
2017-06-30 20:00:00,1083.6,23.82133333333333,88.68333333333334,0,6,30,4,-0.8660254037844386,0.5000000000000001
2017-06-30 21:00:00,991.2,23.072,90.55,0,6,30,4,-0.7071067811865477,0.7071067811865474
2017-06-30 22:00:00,869.4000000000001,23.032,90.66666666666669,0,6,30,4,-0.5000000000000004,0.8660254037844384
2017-06-30 23:00:00,810.6,22.872,91.26666666666668,0,6,30,4,-0.25881904510252157,0.9659258262890681
2017-07-01 00:00:00,798.0,22.800166666666662,91.68333333333334,0,7,1,5,0.0,1.0
2017-07-01 01:00:00,772.8,22.756500000000003,91.43333333333334,0,7,1,5,0.25881904510252074,0.9659258262890683
2017-07-01 02:00:00,777.0,22.752666666666663,90.8,0,7,1,5,0.49999999999999994,0.8660254037844387
2017-07-01 03:00:00,777.0,22.7645,90.03333333333332,0,7,1,5,0.7071067811865476,0.7071067811865476
2017-07-01 04:00:00,764.4000000000001,22.6965,89.78333333333335,0,7,1,5,0.8660254037844386,0.5000000000000001
2017-07-01 05:00:00,768.6,22.429,90.93333333333334,0,7,1,5,0.9659258262890683,0.25881904510252074
2017-07-01 06:00:00,793.8,22.65683333333333,90.41666666666669,0,7,1,5,1.0,6.123233995736766e-17
2017-07-01 07:00:00,915.6,23.20016666666667,88.93333333333334,0,7,1,5,0.9659258262890683,-0.25881904510252063
2017-07-01 08:00:00,1167.6,23.833166666666667,87.09999999999998,0,7,1,5,0.8660254037844387,-0.4999999999999998
2017-07-01 09:00:00,1377.6,24.419833333333333,85.64999999999999,0,7,1,5,0.7071067811865476,-0.7071067811865475
2017-07-01 10:00:00,1554.0,25.437,83.43333333333332,0,7,1,5,0.49999999999999994,-0.8660254037844387
2017-07-01 11:00:00,1608.6,26.28,80.16666666666667,0,7,1,5,0.258819045102521,-0.9659258262890682
2017-07-01 12:00:00,1587.6,28.6245,74.88333333333334,0,7,1,5,1.2246467991473532e-16,-1.0
2017-07-01 13:00:00,1558.1999999999998,28.26283333333333,72.45,0,7,1,5,-0.2588190451025208,-0.9659258262890683
2017-07-01 14:00:00,1381.8,27.97866666666667,73.16666666666667,0,7,1,5,-0.4999999999999997,-0.8660254037844388
2017-07-01 15:00:00,1239.0,27.255333333333336,75.23333333333333,0,7,1,5,-0.7071067811865471,-0.7071067811865479
2017-07-01 16:00:00,1024.8,25.757,80.88333333333333,0,7,1,5,-0.8660254037844385,-0.5000000000000004
2017-07-01 17:00:00,907.2,24.621333333333336,83.55,0,7,1,5,-0.9659258262890683,-0.25881904510252063
2017-07-01 18:00:00,869.4,23.609,85.35000000000001,0,7,1,5,-1.0,-1.8369701987210297e-16
2017-07-01 19:00:00,890.4,22.968,86.53333333333335,0,7,1,5,-0.9659258262890684,0.2588190451025203
2017-07-01 20:00:00,840.0,22.249666666666663,88.56666666666666,0,7,1,5,-0.8660254037844386,0.5000000000000001
2017-07-01 21:00:00,798.0,21.80733333333333,89.68333333333334,0,7,1,5,-0.7071067811865477,0.7071067811865474
2017-07-01 22:00:00,777.0,21.338,91.5,0,7,1,5,-0.5000000000000004,0.8660254037844384
2017-07-01 23:00:00,768.5999999999999,21.43733333333333,91.95,0,7,1,5,-0.25881904510252157,0.9659258262890681
2017-07-02 00:00:00,764.4,21.576666666666668,91.25,0,7,2,6,0.0,1.0
2017-07-02 01:00:00,756.0,21.576666666666668,91.36666666666667,0,7,2,6,0.25881904510252074,0.9659258262890683
2017-07-02 02:00:00,751.8,21.4215,92.0,0,7,2,6,0.49999999999999994,0.8660254037844387
2017-07-02 03:00:00,756.0,21.409666666666663,92.31666666666666,0,7,2,6,0.7071067811865476,0.7071067811865476
2017-07-02 04:00:00,751.8,21.302,93.28333333333336,0,7,2,6,0.8660254037844386,0.5000000000000001
2017-07-02 05:00:00,747.5999999999999,21.2105,92.86666666666667,0,7,2,6,0.9659258262890683,0.25881904510252074
2017-07-02 06:00:00,735.0,21.36583333333333,92.15,0,7,2,6,1.0,6.123233995736766e-17
2017-07-02 07:00:00,764.4,22.254,90.15,0,7,2,6,0.9659258262890683,-0.25881904510252063
2017-07-02 08:00:00,844.1999999999999,23.698,86.33333333333333,0,7,2,6,0.8660254037844387,-0.4999999999999998
2017-07-02 09:00:00,919.8,26.017666666666667,79.83333333333333,0,7,2,6,0.7071067811865476,-0.7071067811865475
2017-07-02 10:00:00,957.6,26.345666666666663,77.75,0,7,2,6,0.49999999999999994,-0.8660254037844387
2017-07-02 11:00:00,987.0,28.3535,72.58333333333334,0,7,2,6,0.258819045102521,-0.9659258262890682
2017-07-02 12:00:00,978.6,29.06983333333333,69.26666666666667,0,7,2,6,1.2246467991473532e-16,-1.0
2017-07-02 13:00:00,957.6,28.181,71.14999999999999,0,7,2,6,-0.2588190451025208,-0.9659258262890683
2017-07-02 14:00:00,932.4,28.188500000000005,73.51666666666667,0,7,2,6,-0.4999999999999997,-0.8660254037844388
2017-07-02 15:00:00,932.4,28.445833333333336,72.38333333333333,0,7,2,6,-0.7071067811865471,-0.7071067811865479
2017-07-02 16:00:00,873.6,27.7765,74.15,0,7,2,6,-0.8660254037844385,-0.5000000000000004
2017-07-02 17:00:00,793.8,26.2925,77.89999999999999,0,7,2,6,-0.9659258262890683,-0.25881904510252063
2017-07-02 18:00:00,823.1999999999999,25.153666666666663,82.85000000000001,0,7,2,6,-1.0,-1.8369701987210297e-16
2017-07-02 19:00:00,873.5999999999999,24.391666666666666,84.41666666666667,0,7,2,6,-0.9659258262890684,0.2588190451025203
2017-07-02 20:00:00,852.5999999999999,23.709,85.44999999999999,0,7,2,6,-0.8660254037844386,0.5000000000000001
2017-07-02 21:00:00,814.8000000000001,23.024,87.88333333333333,0,7,2,6,-0.7071067811865477,0.7071067811865474
2017-07-02 22:00:00,777.0,22.30966666666667,89.93333333333334,0,7,2,6,-0.5000000000000004,0.8660254037844384
2017-07-02 23:00:00,768.5999999999999,22.05033333333333,91.08333333333331,0,7,2,6,-0.25881904510252157,0.9659258262890681
2017-07-03 00:00:00,764.4000000000001,22.118,90.86666666666666,0,7,3,0,0.0,1.0
2017-07-03 01:00:00,747.5999999999999,22.0345,91.16666666666669,0,7,3,0,0.25881904510252074,0.9659258262890683
2017-07-03 02:00:00,743.4000000000001,21.7715,92.28333333333336,0,7,3,0,0.49999999999999994,0.8660254037844387
2017-07-03 03:00:00,726.6000000000001,21.497,92.96666666666664,0,7,3,0,0.7071067811865476,0.7071067811865476
2017-07-03 04:00:00,722.4,21.27833333333333,92.88333333333334,0,7,3,0,0.8660254037844386,0.5000000000000001
2017-07-03 05:00:00,722.4000000000001,21.361666666666665,92.68333333333334,0,7,3,0,0.9659258262890683,0.25881904510252074
2017-07-03 06:00:00,768.5999999999999,21.489,91.2,0,7,3,0,1.0,6.123233995736766e-17
2017-07-03 07:00:00,1642.2,22.397666666666662,89.23333333333333,0,7,3,0,0.9659258262890683,-0.25881904510252063
2017-07-03 08:00:00,2843.4,23.942166666666665,85.08333333333334,0,7,3,0,0.8660254037844387,-0.4999999999999998
2017-07-03 09:00:00,3242.4000000000005,25.0405,81.5,0,7,3,0,0.7071067811865476,-0.7071067811865475
2017-07-03 10:00:00,3532.2000000000003,26.224166666666672,78.86666666666667,0,7,3,0,0.49999999999999994,-0.8660254037844387
2017-07-03 11:00:00,3700.2,27.42750000000001,75.10000000000001,0,7,3,0,0.258819045102521,-0.9659258262890682
2017-07-03 12:00:00,3855.6,29.01033333333333,70.51666666666667,0,7,3,0,1.2246467991473532e-16,-1.0
2017-07-03 13:00:00,3910.2,29.65733333333333,68.01666666666667,0,7,3,0,-0.2588190451025208,-0.9659258262890683
2017-07-03 14:00:00,4053.0,31.18466666666667,64.05,0,7,3,0,-0.4999999999999997,-0.8660254037844388
2017-07-03 15:00:00,4145.400000000001,30.27283333333333,62.75,0,7,3,0,-0.7071067811865471,-0.7071067811865479
2017-07-03 16:00:00,3456.6,29.311000000000003,69.56666666666666,0,7,3,0,-0.8660254037844385,-0.5000000000000004
2017-07-03 17:00:00,2436.0,28.915500000000005,70.95,0,7,3,0,-0.9659258262890683,-0.25881904510252063
2017-07-03 18:00:00,1881.6,28.089,72.08333333333334,0,7,3,0,-1.0,-1.8369701987210297e-16
2017-07-03 19:00:00,1323.0,27.977666666666664,71.7,0,7,3,0,-0.9659258262890684,0.2588190451025203
2017-07-03 20:00:00,1125.6,26.33783333333333,78.38333333333333,0,7,3,0,-0.8660254037844386,0.5000000000000001
