tiempo,TempCelcius,HR,pandemia,energia_activa
2019-07-30 08:00:00,21.616333333333333,92.73333333333332,0,0.0
2019-07-30 09:00:00,22.836166666666667,89.71666666666668,0,0.0
2019-07-30 10:00:00,23.88983333333333,86.06666666666666,0,0.0
2019-07-30 11:00:00,25.352500000000003,82.2,0,0.0
2019-07-30 12:00:00,26.929,77.23333333333333,0,0.0
2019-07-30 13:00:00,27.7725,73.63333333333334,0,0.0
2019-07-30 14:00:00,27.341333333333328,73.61666666666667,0,0.0
2019-07-30 15:00:00,27.14483333333333,74.18333333333334,0,0.0
2019-07-30 16:00:00,26.84266666666667,74.96666666666665,0,0.0
2019-07-30 17:00:00,26.00016666666666,77.26666666666667,0,0.0
2019-07-30 18:00:00,24.738,83.39999999999999,0,0.0
2019-07-30 19:00:00,24.018,84.58333333333333,0,0.0
2019-07-30 20:00:00,23.168000000000003,87.21666666666665,0,0.0
2019-07-30 21:00:00,22.3855,89.35000000000001,0,0.0
2019-07-30 22:00:00,21.724,91.16666666666669,0,0.0
2019-07-30 23:00:00,21.668000000000003,92.23333333333332,0,0.0
2019-07-31 00:00:00,21.417666666666666,92.76666666666668,0,0.0
2019-07-31 01:00:00,21.41333333333333,93.48333333333332,0,0.0
2019-07-31 02:00:00,21.481,93.75,0,0.0
2019-07-31 03:00:00,21.4095,93.71666666666668,0,0.0
2019-07-31 04:00:00,21.473166666666668,93.71666666666664,0,0.0
2019-07-31 05:00:00,21.33783333333333,93.28333333333336,0,0.0
2019-07-31 06:00:00,21.461,92.86666666666667,0,0.0
2019-07-31 07:00:00,21.99866666666667,92.26666666666668,0,0.0
2019-07-31 08:00:00,23.04833333333333,90.13333333333334,0,0.0
2019-07-31 09:00:00,24.726333333333333,86.21666666666665,0,0.0
2019-07-31 10:00:00,26.506,80.06666666666666,0,0.0
2019-07-31 11:00:00,26.57733333333333,76.21666666666667,0,0.0
2019-07-31 12:00:00,26.965,75.53333333333333,0,0.0
2019-07-31 13:00:00,26.99783333333333,74.93333333333332,0,0.0
2019-07-31 14:00:00,27.481666666666666,74.48333333333333,0,0.0
2019-07-31 15:00:00,27.653,73.05,0,0.0
2019-07-31 16:00:00,27.492833333333333,73.31666666666666,0,0.0
2019-07-31 17:00:00,26.956833333333336,74.99999999999999,0,0.0
2019-07-31 18:00:00,26.016166666666663,78.18333333333334,0,0.0
2019-07-31 19:00:00,25.31883333333333,80.26666666666667,0,0.0
2019-07-31 20:00:00,23.962666666666667,83.38333333333333,0,0.0
2019-07-31 21:00:00,22.616833333333336,87.10000000000001,0,0.0
2019-07-31 22:00:00,21.791500000000003,89.76666666666665,0,0.0
2019-07-31 23:00:00,21.341833333333337,91.75,0,0.0
2019-08-01 00:00:00,21.3975,92.85,0,0.0
2019-08-01 01:00:00,21.5725,92.61666666666666,0,0.0
2019-08-01 02:00:00,21.3855,92.78333333333336,0,0.0
2019-08-01 03:00:00,21.54083333333333,92.63333333333333,0,0.0
2019-08-01 04:00:00,21.537000000000003,92.26666666666668,0,0.0
2019-08-01 05:00:00,21.453166666666664,92.58333333333331,0,0.0
2019-08-01 06:00:00,21.381666666666664,93.35,0,0.0
2019-08-01 07:00:00,21.69983333333333,93.31666666666666,0,0.0
2019-08-01 08:00:00,23.2285,89.75,0,0.0
2019-08-01 09:00:00,25.357333333333333,82.16666666666667,0,0.0
2019-08-01 10:00:00,26.95433333333333,75.68333333333334,0,0.0
2019-08-01 11:00:00,28.25533333333333,71.58333333333333,0,0.0
2019-08-01 12:00:00,28.812166666666663,69.85000000000001,0,0.0
2019-08-01 13:00:00,29.403333333333336,68.0,0,0.0
2019-08-01 14:00:00,30.251500000000004,66.68333333333334,0,0.0
2019-08-01 15:00:00,30.076666666666664,65.86666666666666,0,0.0
2019-08-01 16:00:00,29.666500000000003,65.60000000000001,0,0.0
2019-08-01 17:00:00,28.8425,66.98333333333333,0,0.0
2019-08-01 18:00:00,26.4375,74.48333333333333,0,0.0
2019-08-01 19:00:00,24.396,81.55,0,0.0
2019-08-01 20:00:00,22.9925,83.03333333333335,0,0.0
2019-08-01 21:00:00,21.922666666666668,86.28333333333335,0,0.0
2019-08-01 22:00:00,21.38983333333333,88.31666666666666,0,0.0
2019-08-01 23:00:00,21.413166666666665,88.73333333333333,0,0.0
2019-08-02 00:00:00,21.465,89.03333333333335,0,0.0
2019-08-02 01:00:00,21.532666666666668,89.13333333333334,0,0.0
2019-08-02 02:00:00,21.306,89.68333333333332,0,0.0
2019-08-02 03:00:00,21.2305,90.43333333333334,0,0.0
2019-08-02 04:00:00,21.314,90.48333333333332,0,0.0
2019-08-02 05:00:00,21.393666666666665,90.16666666666669,0,0.0
2019-08-02 06:00:00,21.477000000000004,89.91666666666667,0,0.0
2019-08-02 07:00:00,21.73183333333333,90.06666666666666,0,0.0
2019-08-02 08:00:00,22.8285,88.78333333333335,0,0.0
2019-08-02 09:00:00,23.67283333333333,86.21666666666668,0,0.0
2019-08-02 10:00:00,24.3395,84.23333333333333,0,0.0
2019-08-02 11:00:00,25.206333333333333,81.83333333333333,0,0.0
2019-08-02 12:00:00,26.648,77.39999999999999,0,0.0
2019-08-02 13:00:00,27.55550000000001,72.61666666666667,0,0.0
2019-08-02 14:00:00,28.131,71.5,0,0.0
2019-08-02 15:00:00,28.6065,69.43333333333334,0,0.0
2019-08-02 16:00:00,27.806,70.59999999999998,0,0.0
2019-08-02 17:00:00,26.556833333333334,75.5,0,0.0
2019-08-02 18:00:00,25.59433333333333,77.85000000000001,0,0.0
2019-08-02 19:00:00,24.512833333333333,81.86666666666666,0,0.0
2019-08-02 20:00:00,23.672833333333333,84.21666666666665,0,0.0
2019-08-02 21:00:00,22.972166666666663,85.23333333333333,0,0.0
2019-08-02 22:00:00,22.3455,87.36666666666667,0,0.0
2019-08-02 23:00:00,21.93883333333333,89.11666666666667,0,0.0
2019-08-03 00:00:00,21.923,89.83333333333333,0,0.0
2019-08-03 01:00:00,21.775666666666663,89.30000000000001,0,0.0
2019-08-03 02:00:00,21.608,90.35,0,0.0
2019-08-03 03:00:00,21.50483333333333,90.81666666666668,0,0.0
2019-08-03 04:00:00,21.362,91.71666666666668,0,0.0
2019-08-03 05:00:00,21.620166666666663,90.96666666666668,0,0.0
2019-08-03 06:00:00,21.65233333333333,90.08333333333331,0,0.0
2019-08-03 07:00:00,22.269666666666662,89.43333333333334,0,0.0
2019-08-03 08:00:00,23.58083333333333,86.64999999999999,0,0.0
2019-08-03 09:00:00,23.9375,84.11666666666667,0,0.0
2019-08-03 10:00:00,24.718,82.96666666666665,0,0.0
2019-08-03 11:00:00,26.69183333333333,77.8,0,0.0
2019-08-03 12:00:00,27.4945,73.45,0,0.0
2019-08-03 13:00:00,28.63083333333333,70.13333333333334,0,0.0
2019-08-03 14:00:00,28.514,70.85000000000001,0,0.0
2019-08-03 15:00:00,28.605166666666666,71.16666666666667,0,0.0
2019-08-03 16:00:00,28.1595,72.03333333333332,0,0.0
2019-08-03 17:00:00,27.28,74.53333333333335,0,0.0
2019-08-03 18:00:00,25.996166666666667,78.61666666666667,0,0.0
2019-08-03 19:00:00,25.089,80.96666666666665,0,0.0
2019-08-03 20:00:00,24.05033333333333,81.45,0,0.0
2019-08-03 21:00:00,23.112333333333336,83.86666666666667,0,0.0
2019-08-03 22:00:00,22.445166666666665,86.60000000000001,0,0.0
2019-08-03 23:00:00,22.21,87.83333333333333,0,0.0
2019-08-04 00:00:00,22.058333333333334,88.18333333333332,0,0.0
2019-08-04 01:00:00,21.815166666666663,88.83333333333331,0,0.0
2019-08-04 02:00:00,21.747833333333336,88.81666666666666,0,0.0
2019-08-04 03:00:00,21.831333333333333,88.53333333333332,0,0.0
2019-08-04 04:00:00,21.5885,89.0,0,0.0
2019-08-04 05:00:00,21.461,90.11666666666667,0,0.0
2019-08-04 06:00:00,21.50883333333333,90.35,0,0.0
2019-08-04 07:00:00,22.349499999999995,89.31666666666666,0,0.0
2019-08-04 08:00:00,23.168000000000003,86.55,0,0.0
2019-08-04 09:00:00,24.21583333333333,84.78333333333332,0,0.0
2019-08-04 10:00:00,25.947333333333333,80.08333333333333,0,0.0
2019-08-04 11:00:00,26.481166666666667,77.83333333333333,0,0.0
2019-08-04 12:00:00,27.38733333333333,75.10000000000001,0,0.0
2019-08-04 13:00:00,28.63833333333333,71.59999999999998,0,0.0
2019-08-04 14:00:00,30.3575,67.2,0,0.0
2019-08-04 15:00:00,29.411,66.91666666666667,0,0.0
2019-08-04 16:00:00,28.56033333333333,70.08333333333333,0,0.0
2019-08-04 17:00:00,27.71166666666667,73.65,0,0.0
2019-08-04 18:00:00,26.12566666666667,79.86666666666666,0,0.0
2019-08-04 19:00:00,25.25866666666667,83.43333333333334,0,0.0
2019-08-04 20:00:00,24.399833333333333,85.68333333333334,0,0.0
2019-08-04 21:00:00,23.4205,86.56666666666668,0,0.0
2019-08-04 22:00:00,22.596833333333333,89.03333333333332,0,0.0
2019-08-04 23:00:00,22.178,90.75,0,0.0
2019-08-05 00:00:00,21.831333333333333,92.0,0,0.0
2019-08-05 01:00:00,21.42933333333333,93.25,0,0.0
2019-08-05 02:00:00,21.2145,94.13333333333333,0,0.0
2019-08-05 03:00:00,21.186666666666664,94.36666666666666,0,0.0
2019-08-05 04:00:00,21.38566666666667,93.63333333333334,0,0.0
2019-08-05 05:00:00,21.497,92.93333333333334,0,0.0
2019-08-05 06:00:00,21.64816666666667,92.2,0,0.0
2019-08-05 07:00:00,22.677000000000003,89.14999999999999,0,0.0
2019-08-05 08:00:00,23.689000000000004,84.23333333333333,0,0.0
2019-08-05 09:00:00,24.960666666666665,80.98333333333333,0,0.0
2019-08-05 10:00:00,26.65983333333333,75.85000000000001,0,0.0
2019-08-05 11:00:00,28.192833333333336,71.81666666666668,0,0.0
2019-08-05 12:00:00,28.32483333333333,70.60000000000001,0,0.0
2019-08-05 13:00:00,29.32383333333333,68.93333333333334,0,0.0
2019-08-05 14:00:00,29.2945,68.25,0,0.0
2019-08-05 15:00:00,30.04533333333333,66.93333333333334,0,0.0
2019-08-05 16:00:00,29.707166666666662,65.81666666666668,0,0.0
2019-08-05 17:00:00,28.730833333333333,67.58333333333334,0,0.0
2019-08-05 18:00:00,26.39033333333333,77.63333333333334,0,0.0
2019-08-05 19:00:00,25.566,79.96666666666668,0,0.0
2019-08-05 20:00:00,24.947666666666663,80.9,0,0.0
2019-08-05 21:00:00,24.106166666666667,80.91666666666667,0,0.0
2019-08-05 22:00:00,23.192166666666665,83.06666666666668,0,0.0
