N;Fecha Tiempo;TempCelcius ;HR;Lluviamm;Dirdelviento;Veldelviento_m/s;Velderafagas_m/s
1;01/21/16 02:00:00 AM;25.817;87.9;0;146;-888.88;-888.88
2;01/21/16 02:10:00 AM;25.671;88.3;0;181.1;-888.88;-888.88
3;01/21/16 02:20:00 AM;25.623;88.7;0;164.3;-888.88;-888.88
4;01/21/16 02:30:00 AM;25.623;88.9;0;181.1;-888.88;-888.88
5;01/21/16 02:40:00 AM;25.598;89.1;0;151.6;-888.88;-888.88
6;01/21/16 02:50:00 AM;25.525;89.3;0;203.6;-888.88;-888.88
7;01/21/16 03:00:00 AM;25.501;89.5;0;200.8;-888.88;-888.88
8;01/21/16 03:10:00 AM;25.453;89.8;0;162.9;-888.88;-888.88
9;01/21/16 03:20:00 AM;25.428;90.1;0;217.6;-888.88;-888.88
10;01/21/16 03:30:00 AM;25.428;90.4;0;176.9;-888.88;-888.88
11;01/21/16 03:40:00 AM;25.453;90.6;0;167.1;-888.88;-888.88
12;01/21/16 03:50:00 AM;25.453;90.7;0;160;-888.88;-888.88
13;01/21/16 04:00:00 AM;25.453;90.7;0;160;-888.88;-888.88
14;01/21/16 04:10:00 AM;25.428;90.9;0;216.2;-888.88;-888.88
15;01/21/16 04:20:00 AM;25.307;91.1;0;188.1;-888.88;-888.88
16;01/21/16 04:30:00 AM;24.798;91.6;0;178.3;-888.88;-888.88
17;01/21/16 04:40:00 AM;24.629;92.2;0;192.3;-888.88;-888.88
18;01/21/16 04:50:00 AM;24.508;92.7;0;186.7;-888.88;-888.88
19;01/21/16 05:00:00 AM;24.388;93.2;0;200.8;-888.88;-888.88
20;01/21/16 05:10:00 AM;24.267;93.4;0;199.4;-888.88;-888.88
21;01/21/16 05:20:00 AM;24.146;93.6;0;196.5;-888.88;-888.88
22;01/21/16 05:30:00 AM;24.146;93.7;0;195.1;-888.88;-888.88
23;01/21/16 05:40:00 AM;24.195;93.7;0;182.5;-888.88;-888.88
24;01/21/16 05:50:00 AM;24.195;93.7;0;185.3;-888.88;-888.88
25;01/21/16 06:00:00 AM;24.243;93.9;0;200.8;-888.88;-888.88
26;01/21/16 06:10:00 AM;24.219;94.1;0;200.8;-888.88;-888.88
27;01/21/16 06:20:00 AM;24.219;94.4;0;183.9;-888.88;-888.88
28;01/21/16 06:30:00 AM;24.195;94.7;0;185.3;-888.88;-888.88
29;01/21/16 06:40:00 AM;24.195;94.7;0;198;-888.88;-888.88
30;01/21/16 06:50:00 AM;24.315;94.7;0;181.1;-888.88;-888.88
31;01/21/16 07:00:00 AM;24.581;94.7;0;182.5;-888.88;-888.88
32;01/21/16 07:10:00 AM;24.847;94.6;0;182.5;-888.88;-888.88
33;01/21/16 07:20:00 AM;25.307;94.4;0;193.7;-888.88;-888.88
34;01/21/16 07:30:00 AM;25.283;93.8;0;190.9;-888.88;-888.88
35;01/21/16 07:40:00 AM;25.355;93.2;0;185.3;-888.88;-888.88
36;01/21/16 07:50:00 AM;25.331;92.8;0;183.9;-888.88;-888.88
37;01/21/16 08:00:00 AM;25.695;92.6;0;178.3;-888.88;-888.88
38;01/21/16 08:10:00 AM;27.161;92.1;0;165.7;-888.88;-888.88
39;01/21/16 08:20:00 AM;27.382;90.1;0;160;-888.88;-888.88
40;01/21/16 08:30:00 AM;26.5;88.6;0;175.5;-888.88;-888.88
41;01/21/16 08:40:00 AM;27.259;88.8;0;178.3;-888.88;-888.88
42;01/21/16 08:50:00 AM;27.456;87.7;0;179.7;-888.88;-888.88
43;01/21/16 09:00:00 AM;27.087;86.6;0;169.9;-888.88;-888.88
44;01/21/16 09:10:00 AM;27.259;86.8;0;167.1;-888.88;-888.88
45;01/21/16 09:20:00 AM;26.72;86.9;0;178.3;-888.88;-888.88
46;01/21/16 09:30:00 AM;27.136;87.4;0;185.3;-888.88;-888.88
47;01/21/16 09:40:00 AM;27.382;86.9;0;189.5;-888.88;-888.88
48;01/21/16 09:50:00 AM;28.32;85.7;0;176.9;-888.88;-888.88
49;01/21/16 10:00:00 AM;30.343;83.6;0;168.5;-888.88;-888.88
50;01/21/16 10:10:00 AM;30.596;78.7;0;175.5;-888.88;-888.88
51;01/21/16 10:20:00 AM;28.593;77.5;0;172.7;-888.88;-888.88
52;01/21/16 10:30:00 AM;30.041;77.7;0;178.3;-888.88;-888.88
53;01/21/16 10:40:00 AM;30.041;75.1;0;181.1;-888.88;-888.88
54;01/21/16 10:50:00 AM;30.394;73.7;0;190.9;-888.88;-888.88
55;01/21/16 11:00:00 AM;31.077;72.4;0;183.9;-888.88;-888.88
56;01/21/16 11:10:00 AM;31.001;70.3;0;183.9;-888.88;-888.88
57;01/21/16 11:20:00 AM;30.469;71;0;162.9;-888.88;-888.88
58;01/21/16 11:30:00 AM;30.571;71.9;0;136.2;-888.88;-888.88
59;01/21/16 11:40:00 AM;30.394;71.6;0;95.5;-888.88;-888.88
60;01/21/16 11:50:00 AM;30.243;73.1;0;228.8;-888.88;-888.88
61;01/21/16 12:00:00 PM;29.991;74.2;0;279.4;-888.88;-888.88
62;01/21/16 12:10:00 PM;30.016;73.8;0;230.2;-888.88;-888.88
63;01/21/16 12:20:00 PM;29.84;73.4;0;132;-888.88;-888.88
64;01/21/16 12:30:00 PM;29.14;74;0;88.4;-888.88;-888.88
65;01/21/16 12:40:00 PM;29.89;74;0;106.7;-888.88;-888.88
66;01/21/16 12:50:00 PM;30.95;72.9;0;133.4;-888.88;-888.88
67;01/21/16 01:00:00 PM;31.561;71.5;0;95.5;-888.88;-888.88
68;01/21/16 01:10:00 PM;31.281;70.5;0;88.4;-888.88;-888.88
